する,する,動詞,サ変動詞
いる,いる,接尾辞,母音動詞
来る,来る,動詞,カ変動詞来
食べる,食べる,動詞,母音動詞
飲む,飲む,動詞,子音動詞マ行
愛し合う,合う,動詞,子音動詞ワ行
合図する,する,動詞,サ変動詞
相席する,する,動詞,サ変動詞
合う,合う,動詞,子音動詞ワ行
扇ぐ,扇ぐ,動詞,子音動詞ガ行
挙がる,挙がる,動詞,子音動詞ラ行
飽きる,飽きる,動詞,母音動詞
空く,空く,動詞,子音動詞カ行
握手する,する,動詞,サ変動詞
明ける,明ける,動詞,母音動詞
挙げる,挙げる,動詞,母音動詞
上げる,上げる,動詞,母音動詞
憧れる,憧れる,動詞,母音動詞
味付けする,する,動詞,サ変動詞
味わう,味わう,動詞,子音動詞ワ行
預ける,預ける,動詞,母音動詞
与える,与える,動詞,母音動詞
当たる,当たる,動詞,子音動詞ラ行
悪化する,する,動詞,サ変動詞
扱う,扱う,動詞,子音動詞ワ行
アップする,する,動詞,サ変動詞
あてはめる,あてはめる,動詞,母音動詞
当てる,当てる,動詞,母音動詞
あてる,あてる,動詞,母音動詞
後片づけする,する,動詞,サ変動詞
アドバイスする,する,動詞,サ変動詞
アナウンスする,する,動詞,サ変動詞
あふれる,あふれる,動詞,母音動詞
甘やかす,甘やかす,動詞,子音動詞サ行
誤る,誤る,動詞,子音動詞ラ行
歩む,歩む,動詞,子音動詞マ行
争う,争う,動詞,子音動詞ワ行
改まる,改まる,動詞,子音動詞ラ行
表す,表す,動詞,子音動詞サ行
表わす,表わす,動詞,子音動詞サ行
現れる,現れる,動詞,母音動詞
現われる,現われる,動詞,母音動詞
歩き回る,回る,動詞,子音動詞ラ行
合わせる,合わせる,動詞,母音動詞
慌てる,慌てる,動詞,母音動詞
安定する,する,動詞,サ変動詞
言い合う,合う,動詞,子音動詞ワ行
言い表す,言い表す,動詞,子音動詞サ行
言い返す,返す,動詞,子音動詞サ行
言い換える,換える,動詞,母音動詞
言い訳する,する,動詞,サ変動詞
生かす,生かす,動詞,子音動詞サ行
生き生きする,する,動詞,子音動詞ラ行
生きる,生きる,動詞,母音動詞
行く,行く,動詞,子音動詞カ行促音便形
維持する,する,動詞,サ変動詞
意識する,する,動詞,サ変動詞
いじめる,いじめる,動詞,母音動詞
抱く,抱く,動詞,子音動詞カ行
痛む,痛む,動詞,子音動詞マ行
いためる,いためる,動詞,母音動詞
痛める,痛める,動詞,母音動詞
至る,至る,動詞,子音動詞ラ行
一致する,する,動詞,サ変動詞
一服する,する,動詞,サ変動詞
意図する,する,動詞,サ変動詞
営む,営む,動詞,子音動詞マ行
威張る,威張る,動詞,子音動詞ラ行
イメージする,する,動詞,サ変動詞
嫌がらせする,する,動詞,サ変動詞
癒す,癒す,動詞,子音動詞サ行
印刷する,する,動詞,サ変動詞
引退する,する,動詞,サ変動詞
